invoice_code,customer_code,employee_code,timestamp,total_amount,payment_method
HDIP00170,KH00912,NV0038,2026-02-24 22:41:40.057836,11478825,Chuyển khoản
HDIP00171,KH00860,NV0033,2026-02-25 09:37:40.057836,6165048,Thẻ
HDIP00172,KH00921,NV0030,2026-02-25 09:47:40.057836,13684326,Thẻ
HDIP00173,KH00721,NV0034,2026-02-25 06:46:40.057836,11551745,Tiền mặt
HDIP00174,KH00038,NV0005,2026-02-25 02:18:40.057836,4083725,Tiền mặt
HDIP00175,KH00627,NV0036,2026-02-25 00:18:40.057836,9603490,Chuyển khoản
HDIP00176,KH00807,NV0013,2026-02-25 10:08:40.057836,6927766,Thẻ
HDIP00177,KH00244,NV0050,2026-02-25 02:40:40.057836,8373998,Tiền mặt
HDIP00178,KH00202,NV0027,2026-02-25 01:22:40.057836,6240790,Tiền mặt
HDIP00179,KH00727,NV0021,2026-02-25 03:29:40.057836,1596412,Chuyển khoản
HDIP00180,KH00779,NV0002,2026-02-25 01:59:40.057836,1415370,Thẻ
HDIP00181,KH00188,NV0031,2026-02-25 05:35:40.057836,2560160,Tiền mặt
HDIP00182,KH00653,NV0025,2026-02-25 01:35:40.057836,4244509,Tiền mặt
HDIP00183,KH00142,NV0009,2026-02-25 01:07:40.057836,8143086,Tiền mặt
HDIP00184,KH00451,NV0038,2026-02-25 02:27:40.057836,5468848,Chuyển khoản
HDIP00185,KH00535,NV0038,2026-02-25 10:02:40.057836,6717297,Thẻ
HDIP00186,KH00181,NV0050,2026-02-25 01:03:40.057836,16118594,Chuyển khoản
HDIP00187,KH00804,NV0006,2026-02-24 22:12:40.057836,6143785,Chuyển khoản
HDIP00188,KH00745,NV0038,2026-02-25 01:21:40.057836,2967664,Thẻ
HDIP00189,KH00568,NV0043,2026-02-25 02:46:40.057836,16442527,Tiền mặt
HDIP00190,KH00823,NV0029,2026-02-25 05:19:40.057836,1657904,Thẻ
HDIP00191,KH00613,NV0006,2026-02-25 03:20:40.057836,15114640,Thẻ
HDIP00192,KH00067,NV0030,2026-02-25 04:39:40.057836,2001404,Chuyển khoản
HDIP00193,KH00447,NV0018,2026-02-25 08:14:40.057836,921290,Chuyển khoản
HDIP00194,KH00840,NV0049,2026-02-25 08:09:40.057836,4186482,Thẻ
HDIP00195,KH00309,NV0032,2026-02-25 04:11:40.057836,5280522,Tiền mặt
HDIP00196,KH00815,NV0017,2026-02-25 05:59:40.057836,8145495,Thẻ
HDIP00197,KH00131,NV0020,2026-02-25 05:14:40.057836,8466346,Chuyển khoản
HDIP00198,KH00301,NV0036,2026-02-25 03:33:40.057836,7936161,Thẻ
HDIP00199,KH00654,NV0036,2026-02-24 23:25:40.057836,12643094,Chuyển khoản
HDIP00200,KH00322,NV0046,2026-02-25 01:31:40.057836,997014,Thẻ
HDIP00201,KH00009,NV0032,2026-02-24 22:58:40.057836,7900474,Tiền mặt
HDIP00202,KH00433,NV0012,2026-02-25 05:09:40.057836,2142952,Tiền mặt
HDIP00203,KH00729,NV0004,2026-02-25 07:15:40.057836,3431616,Thẻ
HDIP00204,KH00529,NV0030,2026-02-25 03:07:40.057836,491292,Chuyển khoản
HDIP00205,KH00507,NV0035,2026-02-25 08:59:40.057836,9751463,Chuyển khoản
HDIP00206,KH00610,NV0007,2026-02-25 00:44:40.057836,1624022,Chuyển khoản
HDIP00207,KH00772,NV0046,2026-02-25 00:29:40.057836,4535785,Thẻ
HDIP00208,KH00857,NV0004,2026-02-25 06:14:40.057836,4211924,Tiền mặt
HDIP00209,KH00032,NV0042,2026-02-25 02:46:40.057836,2141139,Chuyển khoản
HDIP00210,KH00064,NV0023,2026-02-25 22:39:40.057836,10397474,Thẻ
HDIP00211,KH00658,NV0041,2026-02-26 05:21:40.057836,1942453,Tiền mặt
HDIP00212,KH00676,NV0046,2026-02-26 02:03:40.057836,9957292,Thẻ
HDIP00213,KH00786,NV0016,2026-02-26 07:10:40.057836,8934363,Chuyển khoản
HDIP00214,KH00214,NV0025,2026-02-26 01:10:40.057836,12560584,Chuyển khoản
HDIP00215,KH00482,NV0006,2026-02-26 09:03:40.057836,13134201,Thẻ
HDIP00216,KH00896,NV0048,2026-02-26 08:10:40.057836,1689510,Tiền mặt
HDIP00217,KH00401,NV0014,2026-02-26 04:01:40.057836,10938513,Tiền mặt
HDIP00218,KH00346,NV0016,2026-02-26 01:57:40.057836,16338,Thẻ
HDIP00219,KH00767,NV0030,2026-02-25 23:47:40.057836,12412044,Thẻ
HDIP00220,KH00351,NV0013,2026-02-26 02:39:40.057836,3235716,Tiền mặt
HDIP00221,KH00338,NV0033,2026-02-25 22:11:40.057836,2550648,Thẻ
HDIP00222,KH00899,NV0013,2026-02-26 04:39:40.057836,7109669,Thẻ
HDIP00223,KH00834,NV0013,2026-02-26 06:52:40.057836,14212196,Chuyển khoản
HDIP00224,KH00076,NV0014,2026-02-26 03:56:40.057836,6056512,Thẻ
HDIP00225,KH00022,NV0023,2026-02-25 22:11:40.057836,7201448,Thẻ
HDIP00226,KH00126,NV0009,2026-02-26 09:58:40.057836,1628102,Tiền mặt
HDIP00227,KH00249,NV0048,2026-02-25 22:30:40.057836,685006,Chuyển khoản
HDIP00228,KH00793,NV0011,2026-02-26 03:40:40.057836,3962192,Thẻ
HDIP00229,KH00736,NV0016,2026-02-26 10:50:40.057836,11071927,Tiền mặt
HDIP00230,KH00678,NV0035,2026-02-26 00:05:40.057836,3950924,Chuyển khoản
HDIP00231,KH00195,NV0014,2026-02-26 03:07:40.057836,1355312,Tiền mặt
HDIP00232,KH00183,NV0003,2026-02-26 06:03:40.057836,5990343,Tiền mặt
HDIP00233,KH00599,NV0048,2026-02-26 10:43:40.057836,3071387,Thẻ
HDIP00234,KH00130,NV0035,2026-02-26 01:13:40.057836,2990715,Thẻ
HDIP00235,KH00795,NV0026,2026-02-25 22:36:40.057836,7897852,Tiền mặt
HDIP00236,KH00967,NV0005,2026-02-26 05:19:40.057836,4133334,Tiền mặt
HDIP00237,KH00649,NV0037,2026-02-26 09:19:40.057836,3550883,Chuyển khoản
HDIP00238,KH00465,NV0040,2026-02-26 04:52:40.057836,12428532,Chuyển khoản
HDIP00239,KH00979,NV0043,2026-02-25 23:39:40.057836,5607639,Thẻ
HDIP00240,KH00531,NV0004,2026-02-26 09:57:40.057836,9983516,Tiền mặt
HDIP00241,KH00489,NV0042,2026-02-25 22:58:40.057836,7609000,Tiền mặt
HDIP00242,KH00467,NV0022,2026-02-26 07:04:40.057836,4948461,Tiền mặt
HDIP00243,KH00833,NV0025,2026-02-26 05:32:40.057836,5185990,Thẻ
HDIP00244,KH00864,NV0002,2026-02-26 04:29:40.057836,9066290,Chuyển khoản
HDIP00245,KH00582,NV0030,2026-02-26 02:49:40.057836,7656443,Chuyển khoản
HDIP00246,KH00110,NV0025,2026-02-26 10:03:40.057836,4367636,Thẻ
HDIP00247,KH00985,NV0031,2026-02-26 06:25:40.057836,7846091,Tiền mặt
HDIP00248,KH00933,NV0043,2026-02-26 05:54:40.057836,4117414,Chuyển khoản
HDIP00249,KH00142,NV0010,2026-02-26 07:59:40.057836,8393232,Chuyển khoản
HDIP00250,KH00976,NV0029,2026-02-26 02:17:40.057836,9536385,Tiền mặt
HDIP00251,KH00603,NV0045,2026-02-26 01:18:40.057836,4505360,Chuyển khoản
HDIP00252,KH00984,NV0040,2026-02-26 08:23:40.057836,4236015,Chuyển khoản
HDIP00253,KH00623,NV0003,2026-02-26 00:33:40.057836,1644396,Chuyển khoản
HDIP00254,KH00829,NV0009,2026-02-26 04:20:40.057836,5953485,Thẻ
HDIP00255,KH00658,NV0026,2026-02-25 22:22:40.057836,8160721,Thẻ
HDIP00256,KH00717,NV0050,2026-02-26 09:49:40.057836,387232,Chuyển khoản
HDIP00257,KH00738,NV0026,2026-02-26 03:07:40.057836,2369536,Thẻ
HDIP00258,KH00462,NV0038,2026-02-26 06:29:40.057836,10478257,Thẻ
HDIP00259,KH00959,NV0002,2026-02-25 22:24:40.057836,18927727,Chuyển khoản
HDIP00260,KH00252,NV0042,2026-02-26 06:23:40.057836,4921106,Tiền mặt
HDIP00261,KH00495,NV0009,2026-02-26 04:41:40.057836,4366565,Tiền mặt
HDIP00262,KH00662,NV0043,2026-02-26 07:33:40.057836,1954588,Chuyển khoản
HDIP00263,KH00407,NV0040,2026-02-25 22:14:40.057836,4740973,Thẻ
HDIP00264,KH00120,NV0003,2026-02-26 06:58:40.057836,7829669,Chuyển khoản
HDIP00265,KH00517,NV0011,2026-02-26 11:04:40.057836,2922186,Thẻ
HDIP00266,KH00333,NV0006,2026-02-26 08:54:40.057836,19819840,Thẻ
HDIP00267,KH00406,NV0012,2026-02-25 23:55:40.057836,4718800,Chuyển khoản
HDIP00268,KH00460,NV0021,2026-02-26 03:57:40.057836,14933362,Chuyển khoản
HDIP00269,KH00246,NV0022,2026-02-26 02:02:40.057836,15657100,Tiền mặt
HDIP00270,KH00419,NV0032,2026-02-26 05:17:40.057836,1271331,Thẻ
HDIP00271,KH00373,NV0017,2026-02-26 01:43:40.057836,994326,Thẻ
HDIP00272,KH00153,NV0006,2026-02-26 10:05:40.057836,9453693,Chuyển khoản
HDIP00273,KH00838,NV0040,2026-02-26 09:27:40.057836,968401,Tiền mặt
HDIP00274,KH00129,NV0029,2026-02-26 08:41:40.057836,10436020,Chuyển khoản
HDIP00275,KH00161,NV0022,2026-02-26 04:47:40.057836,8017422,Tiền mặt
HDIP00276,KH00980,NV0049,2026-02-26 05:33:40.057836,9341009,Chuyển khoản
HDIP00277,KH00508,NV0002,2026-02-26 01:20:40.057836,4387002,Tiền mặt
HDIP00278,KH00162,NV0012,2026-02-25 23:36:40.057836,9840543,Thẻ
HDIP00279,KH00375,NV0044,2026-02-25 22:11:40.057836,5182919,Tiền mặt
HDIP00280,KH00489,NV0031,2026-02-26 03:13:40.057836,7491468,Thẻ
HDIP00281,KH00314,NV0005,2026-02-26 00:38:40.057836,6717662,Thẻ
HDIP00282,KH00480,NV0021,2026-02-26 04:01:40.057836,6491791,Chuyển khoản
HDIP00283,KH00364,NV0014,2026-02-26 02:16:40.057836,96436,Tiền mặt
HDIP00284,KH00960,NV0018,2026-02-25 23:56:40.057836,4220687,Thẻ
HDIP00285,KH00510,NV0001,2026-02-26 06:30:40.057836,12848422,Chuyển khoản
HDIP00286,KH00842,NV0008,2026-02-26 04:54:40.057836,2152752,Tiền mặt
HDIP00287,KH00200,NV0026,2026-02-26 02:04:40.057836,4806449,Tiền mặt
HDIP00288,KH00604,NV0046,2026-02-26 05:40:40.057836,8468488,Thẻ
HDIP00289,KH00591,NV0041,2026-02-26 05:57:40.057836,4814682,Tiền mặt
HDIP00290,KH00279,NV0031,2026-02-26 08:04:40.057836,6944108,Chuyển khoản
HDIP00291,KH00335,NV0030,2026-02-26 08:38:40.057836,1264274,Thẻ
HDIP00292,KH00300,NV0040,2026-02-25 23:24:40.057836,6136779,Thẻ
HDIP00293,KH00583,NV0039,2026-02-26 01:09:40.057836,6887883,Tiền mặt
HDIP00294,KH00287,NV0030,2026-02-26 02:13:40.057836,2919681,Tiền mặt
HDIP00295,KH00282,NV0014,2026-02-26 06:30:40.057836,7534856,Tiền mặt
HDIP00296,KH00774,NV0023,2026-02-26 00:31:40.057836,8421142,Tiền mặt
HDIP00297,KH00944,NV0030,2026-02-26 10:28:40.057836,1235014,Chuyển khoản
HDIP00298,KH00078,NV0030,2026-02-26 02:10:40.057836,9290058,Thẻ
HDIP00299,KH00416,NV0041,2026-02-26 01:55:40.057836,4883805,Tiền mặt
HDIP00300,KH00016,NV0044,2026-02-26 05:13:40.057836,15414964,Chuyển khoản
HDIP00301,KH00962,NV0002,2026-02-26 08:11:40.057836,9649142,Thẻ
HDIP00302,KH00268,NV0019,2026-02-26 06:07:40.057836,4512426,Thẻ
HDIP00303,KH00562,NV0015,2026-02-26 00:45:40.057836,890870,Chuyển khoản
HDIP00304,KH00284,NV0036,2026-02-26 02:43:40.057836,19500138,Tiền mặt
HDIP00305,KH00712,NV0016,2026-02-26 01:16:40.057836,5862303,Tiền mặt
HDIP00306,KH00763,NV0036,2026-02-26 07:43:40.057836,5396288,Tiền mặt
HDIP00307,KH00846,NV0008,2026-02-26 09:02:40.057836,4608877,Tiền mặt
HDIP00308,KH00158,NV0013,2026-02-26 06:51:40.057836,6491818,Tiền mặt
HDIP00309,KH00662,NV0019,2026-02-26 09:42:40.057836,5960069,Chuyển khoản
HDIP00310,KH00200,NV0011,2026-02-26 09:33:40.057836,1755386,Tiền mặt
HDIP00311,KH00663,NV0007,2026-02-26 01:09:40.057836,5935298,Thẻ
HDIP00312,KH00016,NV0048,2026-02-26 00:42:40.057836,1922147,Tiền mặt
