invoice_code,product_code,quantity,unit_price,line_total
HDIP00035,SP00348,10,323870,3238700
HDIP00035,SP00299,6,571108,3426648
HDIP00035,SP00041,3,436280,1308840
HDIP00035,SP00060,3,481331,1443993
HDIP00035,SP00433,4,41945,167780
HDIP00036,SP00314,10,422929,4229290
HDIP00036,SP00164,9,853227,7679043
HDIP00036,SP00289,10,652432,6524320
HDIP00036,SP00409,8,761984,6095872
HDIP00036,SP00205,10,236215,2362150
HDIP00037,SP00126,4,397357,1589428
HDIP00038,SP00485,6,492035,2952210
HDIP00038,SP00157,3,232784,698352
HDIP00039,SP00113,1,180714,180714
HDIP00040,SP00088,9,354517,3190653
HDIP00040,SP00463,2,570598,1141196
HDIP00040,SP00497,8,424146,3393168
HDIP00040,SP00352,8,353573,2828584
HDIP00041,SP00349,1,284895,284895
HDIP00041,SP00436,8,597101,4776808
HDIP00041,SP00106,9,131225,1181025
HDIP00042,SP00414,8,431267,3450136
HDIP00042,SP00032,7,723919,5067433
HDIP00043,SP00237,2,696555,1393110
HDIP00043,SP00091,10,149888,1498880
HDIP00043,SP00111,6,938906,5633436
HDIP00043,SP00450,7,488692,3420844
HDIP00044,SP00013,2,418886,837772
HDIP00045,SP00414,10,431267,4312670
HDIP00046,SP00373,7,366907,2568349
HDIP00046,SP00380,8,255797,2046376
HDIP00046,SP00093,10,533545,5335450
HDIP00046,SP00114,2,729088,1458176
HDIP00047,SP00115,8,193794,1550352
HDIP00047,SP00120,4,253273,1013092
HDIP00047,SP00442,5,127378,636890
HDIP00048,SP00334,7,81882,573174
HDIP00048,SP00418,6,196103,1176618
HDIP00048,SP00145,1,662420,662420
HDIP00049,SP00383,4,38805,155220
HDIP00050,SP00337,9,709273,6383457
HDIP00050,SP00353,6,24109,144654
HDIP00050,SP00219,4,65321,261284
HDIP00050,SP00200,4,508167,2032668
HDIP00051,SP00391,6,399409,2396454
HDIP00051,SP00350,9,400549,3604941
HDIP00051,SP00182,5,116834,584170
HDIP00051,SP00231,8,510743,4085944
HDIP00051,SP00074,3,884392,2653176
HDIP00052,SP00056,2,16338,32676
HDIP00052,SP00294,5,315942,1579710
HDIP00052,SP00065,7,185398,1297786
HDIP00052,SP00374,5,309009,1545045
HDIP00053,SP00315,3,307589,922767
HDIP00053,SP00180,5,485030,2425150
HDIP00053,SP00001,2,39451,78902
HDIP00053,SP00177,10,259642,2596420
HDIP00054,SP00345,4,64030,256120
HDIP00054,SP00050,7,768485,5379395
HDIP00055,SP00339,5,543201,2716005
HDIP00055,SP00474,8,597579,4780632
HDIP00055,SP00041,6,436280,2617680
HDIP00055,SP00324,6,816745,4900470
HDIP00055,SP00412,4,658939,2635756
HDIP00056,SP00446,9,236843,2131587
HDIP00056,SP00248,5,696867,3484335
HDIP00056,SP00017,1,237534,237534
HDIP00056,SP00411,5,472831,2364155
HDIP00056,SP00239,7,293243,2052701
HDIP00057,SP00449,2,70395,140790
HDIP00057,SP00457,9,393747,3543723
HDIP00057,SP00236,5,194951,974755
HDIP00058,SP00078,8,73733,589864
HDIP00058,SP00064,8,62405,499240
HDIP00058,SP00452,10,472933,4729330
HDIP00058,SP00133,3,381436,1144308
HDIP00059,SP00218,4,30029,120116
HDIP00059,SP00466,10,674240,6742400
HDIP00059,SP00437,1,705749,705749
HDIP00060,SP00118,5,308167,1540835
HDIP00060,SP00453,7,763110,5341770
HDIP00060,SP00482,2,480249,960498
HDIP00060,SP00049,9,810082,7290738
HDIP00061,SP00426,7,84070,588490
HDIP00062,SP00393,7,231619,1621333
HDIP00062,SP00424,4,338765,1355060
HDIP00062,SP00457,6,393747,2362482
HDIP00063,SP00274,6,516882,3101292
HDIP00064,SP00447,8,680191,5441528
HDIP00064,SP00500,3,781237,2343711
HDIP00064,SP00190,8,828610,6628880
HDIP00064,SP00115,5,193794,968970
HDIP00065,SP00464,7,578385,4048695
HDIP00065,SP00171,3,533754,1601262
HDIP00065,SP00059,7,194135,1358945
HDIP00065,SP00114,4,729088,2916352
HDIP00066,SP00130,5,477422,2387110
HDIP00066,SP00250,9,473332,4259988
HDIP00066,SP00158,2,184258,368516
HDIP00066,SP00181,2,533957,1067914
HDIP00067,SP00160,1,482619,482619
HDIP00067,SP00243,4,522464,2089856
HDIP00067,SP00348,10,323870,3238700
HDIP00068,SP00344,4,478019,1912076
HDIP00069,SP00417,5,164828,824140
HDIP00069,SP00079,6,488662,2931972
HDIP00070,SP00184,3,601036,1803108
HDIP00070,SP00038,7,21593,151151
HDIP00070,SP00019,9,719300,6473700
HDIP00070,SP00278,5,317547,1587735
HDIP00070,SP00110,3,877693,2633079
HDIP00071,SP00288,4,577119,2308476
HDIP00071,SP00191,7,304098,2128686
HDIP00071,SP00328,8,113091,904728
HDIP00071,SP00143,10,605292,6052920
HDIP00072,SP00425,9,36119,325071
HDIP00072,SP00485,6,492035,2952210
HDIP00072,SP00253,5,302082,1510410
HDIP00072,SP00111,6,938906,5633436
HDIP00072,SP00020,6,548262,3289572
HDIP00073,SP00304,3,663763,1991289
HDIP00073,SP00058,2,74120,148240
HDIP00074,SP00377,3,459637,1378911
HDIP00074,SP00095,8,842856,6742848
HDIP00075,SP00302,10,673579,6735790
HDIP00075,SP00137,4,385250,1541000
HDIP00075,SP00216,6,449315,2695890
HDIP00076,SP00125,5,392597,1962985
HDIP00076,SP00063,2,470876,941752
HDIP00076,SP00312,7,208533,1459731
HDIP00076,SP00100,8,97323,778584
HDIP00077,SP00313,7,644192,4509344
HDIP00077,SP00457,1,393747,393747
HDIP00078,SP00128,10,891235,8912350
HDIP00078,SP00044,6,722836,4337016
HDIP00078,SP00030,6,128609,771654
HDIP00078,SP00079,8,488662,3909296
HDIP00078,SP00245,3,389276,1167828
HDIP00079,SP00105,5,355129,1775645
HDIP00079,SP00422,2,294837,589674
HDIP00080,SP00096,2,187389,374778
HDIP00081,SP00007,3,803666,2410998
HDIP00081,SP00459,6,368795,2212770
HDIP00081,SP00339,8,543201,4345608
HDIP00081,SP00130,7,477422,3341954
HDIP00081,SP00110,2,877693,1755386
HDIP00082,SP00018,10,139141,1391410
HDIP00082,SP00033,2,311596,623192
HDIP00082,SP00006,3,308302,924906
HDIP00083,SP00292,7,221640,1551480
HDIP00083,SP00458,6,881738,5290428
HDIP00083,SP00328,8,113091,904728
HDIP00084,SP00081,1,600153,600153
HDIP00084,SP00418,10,196103,1961030
HDIP00084,SP00134,6,640268,3841608
HDIP00084,SP00046,7,623924,4367468
HDIP00085,SP00262,5,149544,747720
HDIP00085,SP00404,4,69812,279248
HDIP00085,SP00392,1,162319,162319
HDIP00085,SP00364,2,250075,500150
HDIP00086,SP00254,4,272218,1088872
HDIP00087,SP00106,7,131225,918575
HDIP00087,SP00301,2,242686,485372
HDIP00087,SP00372,1,105944,105944
HDIP00088,SP00436,7,597101,4179707
HDIP00089,SP00186,2,373486,746972
HDIP00089,SP00465,10,232358,2323580
HDIP00089,SP00323,6,783476,4700856
HDIP00089,SP00356,10,402907,4029070
HDIP00089,SP00077,8,221239,1769912
HDIP00090,SP00180,3,485030,1455090
HDIP00090,SP00190,5,828610,4143050
HDIP00090,SP00321,3,743356,2230068
HDIP00090,SP00038,6,21593,129558
HDIP00090,SP00136,9,235872,2122848
HDIP00091,SP00447,8,680191,5441528
HDIP00091,SP00483,8,181807,1454456
HDIP00091,SP00025,9,812643,7313787
HDIP00091,SP00060,4,481331,1925324
HDIP00091,SP00238,2,681823,1363646
HDIP00092,SP00139,1,439939,439939
HDIP00092,SP00154,8,736786,5894288
HDIP00093,SP00486,7,30247,211729
HDIP00093,SP00108,2,698536,1397072
HDIP00094,SP00032,9,723919,6515271
HDIP00094,SP00496,7,571121,3997847
HDIP00094,SP00246,2,446693,893386
HDIP00094,SP00295,3,48163,144489
HDIP00095,SP00216,5,449315,2246575
HDIP00095,SP00287,4,75628,302512
HDIP00095,SP00077,6,221239,1327434
HDIP00095,SP00129,4,302827,1211308
HDIP00095,SP00355,8,394330,3154640
HDIP00096,SP00128,10,891235,8912350
HDIP00096,SP00489,9,259079,2331711
HDIP00096,SP00458,9,881738,7935642
HDIP00097,SP00289,1,652432,652432
HDIP00097,SP00034,9,272807,2455263
HDIP00097,SP00214,3,148295,444885
HDIP00097,SP00080,6,112095,672570
HDIP00098,SP00246,8,446693,3573544
HDIP00099,SP00347,4,193616,774464
HDIP00099,SP00326,3,114159,342477
HDIP00099,SP00470,9,34918,314262
HDIP00099,SP00078,7,73733,516131
HDIP00099,SP00232,2,896043,1792086
HDIP00100,SP00269,5,350141,1750705
HDIP00100,SP00397,9,483703,4353327
HDIP00100,SP00136,3,235872,707616
HDIP00100,SP00374,2,309009,618018
HDIP00100,SP00006,7,308302,2158114
HDIP00101,SP00487,3,505684,1517052
HDIP00102,SP00071,2,144887,289774
HDIP00103,SP00333,5,607506,3037530
HDIP00103,SP00489,5,259079,1295395
HDIP00103,SP00467,9,683606,6152454
HDIP00103,SP00275,1,731262,731262
HDIP00104,SP00292,4,221640,886560
HDIP00104,SP00357,9,835890,7523010
HDIP00104,SP00376,3,877434,2632302
HDIP00104,SP00212,3,232586,697758
HDIP00105,SP00432,3,475298,1425894
HDIP00105,SP00362,1,55940,55940
HDIP00105,SP00107,10,376160,3761600
HDIP00106,SP00404,2,69812,139624
HDIP00107,SP00044,7,722836,5059852
HDIP00107,SP00424,9,338765,3048885
HDIP00107,SP00352,5,353573,1767865
HDIP00108,SP00215,4,635234,2540936
HDIP00108,SP00015,6,481046,2886276
HDIP00108,SP00445,6,97858,587148
HDIP00109,SP00284,10,457265,4572650
HDIP00109,SP00068,3,799080,2397240
HDIP00109,SP00016,10,619646,6196460
HDIP00109,SP00247,1,663412,663412
HDIP00110,SP00221,6,117686,706116
HDIP00111,SP00314,5,422929,2114645
HDIP00111,SP00142,7,103660,725620
HDIP00111,SP00216,7,449315,3145205
HDIP00112,SP00456,3,710537,2131611
HDIP00112,SP00078,5,73733,368665
HDIP00113,SP00439,8,217247,1737976
HDIP00113,SP00328,8,113091,904728
HDIP00113,SP00135,3,250077,750231
HDIP00113,SP00304,10,663763,6637630
HDIP00113,SP00364,1,250075,250075
HDIP00114,SP00191,4,304098,1216392
HDIP00114,SP00422,8,294837,2358696
HDIP00114,SP00123,6,168111,1008666
HDIP00115,SP00079,10,488662,4886620
HDIP00115,SP00173,5,149585,747925
HDIP00115,SP00429,6,462537,2775222
HDIP00116,SP00163,4,402088,1608352
HDIP00117,SP00360,1,461949,461949
HDIP00117,SP00195,7,491930,3443510
HDIP00117,SP00462,1,61665,61665
HDIP00118,SP00061,3,645349,1936047
HDIP00118,SP00276,1,597450,597450
HDIP00118,SP00346,6,680484,4082904
HDIP00119,SP00055,3,511015,1533045
HDIP00119,SP00201,1,38290,38290
HDIP00119,SP00043,4,461146,1844584
HDIP00120,SP00222,2,395742,791484
HDIP00121,SP00197,7,644239,4509673
HDIP00121,SP00110,3,877693,2633079
HDIP00121,SP00437,7,705749,4940243
HDIP00121,SP00224,5,126323,631615
HDIP00122,SP00206,4,554119,2216476
HDIP00122,SP00490,4,674536,2698144
HDIP00122,SP00122,9,349298,3143682
HDIP00122,SP00083,2,940817,1881634
HDIP00122,SP00356,7,402907,2820349
HDIP00123,SP00390,2,300359,600718
HDIP00123,SP00351,10,658819,6588190
HDIP00123,SP00066,3,124537,373611
HDIP00123,SP00368,5,328017,1640085
HDIP00123,SP00387,4,59107,236428
HDIP00124,SP00062,5,536059,2680295
HDIP00124,SP00226,2,114784,229568
HDIP00124,SP00197,1,644239,644239
HDIP00125,SP00445,5,97858,489290
HDIP00125,SP00500,6,781237,4687422
HDIP00125,SP00326,3,114159,342477
HDIP00125,SP00390,4,300359,1201436
HDIP00126,SP00018,4,139141,556564
HDIP00126,SP00076,5,617604,3088020
HDIP00127,SP00323,8,783476,6267808
HDIP00127,SP00225,5,78095,390475
HDIP00128,SP00471,7,546488,3825416
HDIP00128,SP00200,2,508167,1016334
HDIP00128,SP00453,3,763110,2289330
HDIP00129,SP00338,6,496110,2976660
HDIP00129,SP00237,7,696555,4875885
HDIP00130,SP00311,7,748508,5239556
HDIP00130,SP00361,1,594377,594377
HDIP00131,SP00339,6,543201,3259206
HDIP00132,SP00422,4,294837,1179348
HDIP00132,SP00357,7,835890,5851230
HDIP00133,SP00463,5,570598,2852990
HDIP00133,SP00024,10,304051,3040510
HDIP00133,SP00101,5,38490,192450
HDIP00134,SP00075,8,397143,3177144
HDIP00134,SP00474,8,597579,4780632
HDIP00134,SP00449,2,70395,140790
HDIP00134,SP00360,4,461949,1847796
HDIP00135,SP00283,2,518599,1037198
HDIP00135,SP00489,10,259079,2590790
HDIP00135,SP00407,9,204157,1837413
HDIP00135,SP00076,4,617604,2470416
HDIP00135,SP00296,7,289475,2026325
HDIP00136,SP00161,7,338789,2371523
HDIP00136,SP00052,9,427169,3844521
HDIP00136,SP00023,5,235895,1179475
HDIP00136,SP00387,4,59107,236428
HDIP00136,SP00361,6,594377,3566262
HDIP00137,SP00391,5,399409,1997045
HDIP00137,SP00447,3,680191,2040573
HDIP00137,SP00201,6,38290,229740
HDIP00137,SP00358,4,256895,1027580
HDIP00137,SP00287,8,75628,605024
HDIP00138,SP00427,3,542785,1628355
HDIP00139,SP00008,3,564479,1693437
HDIP00139,SP00479,3,123377,370131
HDIP00139,SP00325,6,627483,3764898
HDIP00140,SP00469,9,413093,3717837
HDIP00140,SP00244,6,434108,2604648
HDIP00140,SP00315,7,307589,2153123
HDIP00140,SP00498,10,170872,1708720
HDIP00140,SP00429,3,462537,1387611
HDIP00141,SP00023,5,235895,1179475
HDIP00141,SP00010,8,85724,685792
HDIP00141,SP00448,5,149173,745865
HDIP00141,SP00409,9,761984,6857856
HDIP00141,SP00314,8,422929,3383432
HDIP00142,SP00107,2,376160,752320
HDIP00142,SP00338,3,496110,1488330
HDIP00143,SP00463,9,570598,5135382
HDIP00143,SP00213,6,221555,1329330
HDIP00144,SP00259,2,376527,753054
HDIP00144,SP00165,1,305998,305998
HDIP00144,SP00361,7,594377,4160639
HDIP00145,SP00122,4,349298,1397192
HDIP00146,SP00431,8,624749,4997992
HDIP00146,SP00486,4,30247,120988
HDIP00146,SP00157,3,232784,698352
HDIP00147,SP00002,8,144923,1159384
HDIP00147,SP00077,8,221239,1769912
HDIP00147,SP00213,2,221555,443110
HDIP00147,SP00330,7,806895,5648265
HDIP00147,SP00285,9,98866,889794
HDIP00148,SP00180,7,485030,3395210
HDIP00148,SP00165,4,305998,1223992
HDIP00148,SP00340,3,688889,2066667
HDIP00148,SP00425,5,36119,180595
HDIP00149,SP00130,3,477422,1432266
HDIP00150,SP00209,4,581170,2324680
HDIP00150,SP00025,10,812643,8126430
HDIP00150,SP00339,4,543201,2172804
HDIP00151,SP00159,1,66845,66845
HDIP00151,SP00135,9,250077,2250693
HDIP00151,SP00008,9,564479,5080311
HDIP00151,SP00351,6,658819,3952914
HDIP00152,SP00425,10,36119,361190
HDIP00152,SP00381,5,230722,1153610
HDIP00152,SP00100,4,97323,389292
HDIP00152,SP00344,2,478019,956038
HDIP00153,SP00359,9,478848,4309632
HDIP00154,SP00288,4,577119,2308476
HDIP00155,SP00299,6,571108,3426648
HDIP00155,SP00060,10,481331,4813310
HDIP00155,SP00356,5,402907,2014535
HDIP00155,SP00159,9,66845,601605
HDIP00156,SP00274,10,516882,5168820
HDIP00156,SP00112,2,774570,1549140
HDIP00156,SP00437,6,705749,4234494
HDIP00156,SP00456,8,710537,5684296
HDIP00156,SP00166,7,597235,4180645
HDIP00157,SP00389,6,350093,2100558
HDIP00158,SP00363,6,546095,3276570
HDIP00158,SP00046,7,623924,4367468
HDIP00158,SP00201,8,38290,306320
HDIP00158,SP00003,2,90309,180618
HDIP00158,SP00053,8,449207,3593656
HDIP00159,SP00221,5,117686,588430
HDIP00159,SP00152,7,598197,4187379
HDIP00159,SP00463,6,570598,3423588
HDIP00159,SP00477,10,212786,2127860
HDIP00160,SP00446,7,236843,1657901
HDIP00161,SP00359,5,478848,2394240
HDIP00161,SP00395,1,637511,637511
HDIP00161,SP00427,9,542785,4885065
HDIP00161,SP00412,4,658939,2635756
HDIP00162,SP00266,10,481581,4815810
HDIP00162,SP00154,5,736786,3683930
HDIP00162,SP00232,10,896043,8960430
HDIP00163,SP00314,6,422929,2537574
HDIP00163,SP00277,5,272667,1363335
HDIP00163,SP00083,1,940817,940817
HDIP00163,SP00084,8,413846,3310768
HDIP00164,SP00313,1,644192,644192
HDIP00165,SP00411,10,472831,4728310
HDIP00165,SP00136,1,235872,235872
HDIP00165,SP00194,1,454753,454753
HDIP00166,SP00299,10,571108,5711080
HDIP00166,SP00179,8,429173,3433384
HDIP00166,SP00158,5,184258,921290
HDIP00166,SP00142,10,103660,1036600
HDIP00167,SP00496,7,571121,3997847
HDIP00167,SP00390,7,300359,2102513
HDIP00167,SP00379,5,232849,1164245
HDIP00168,SP00103,3,515243,1545729
HDIP00168,SP00151,1,496203,496203
HDIP00168,SP00435,9,386869,3481821
HDIP00168,SP00171,5,533754,2668770
HDIP00168,SP00366,7,717217,5020519
HDIP00169,SP00148,1,628367,628367
HDIP00169,SP00397,8,483703,3869624
HDIP00169,SP00013,8,418886,3351088
HDIP00169,SP00416,8,166691,1333528
HDIP00169,SP00176,2,273844,547688
HDIP00170,SP00363,9,546095,4914855
HDIP00170,SP00208,3,187393,562179
HDIP00170,SP00307,7,449124,3143868
HDIP00170,SP00278,9,317547,2857923
HDIP00171,SP00092,7,284169,1989183
HDIP00171,SP00096,9,187389,1686501
HDIP00171,SP00087,9,276596,2489364
HDIP00172,SP00450,7,488692,3420844
HDIP00172,SP00268,6,526352,3158112
HDIP00172,SP00456,10,710537,7105370
HDIP00173,SP00106,4,131225,524900
HDIP00173,SP00343,9,929821,8368389
HDIP00173,SP00417,9,164828,1483452
HDIP00173,SP00454,2,587502,1175004
HDIP00174,SP00324,5,816745,4083725
HDIP00175,SP00160,4,482619,1930476
HDIP00175,SP00421,7,893503,6254521
HDIP00175,SP00411,3,472831,1418493
HDIP00176,SP00106,8,131225,1049800
HDIP00176,SP00285,6,98866,593196
HDIP00176,SP00115,5,193794,968970
HDIP00176,SP00019,6,719300,4315800
HDIP00177,SP00497,1,424146,424146
HDIP00177,SP00251,7,478550,3349850
HDIP00177,SP00012,3,369160,1107480
HDIP00177,SP00475,3,576672,1730016
HDIP00177,SP00454,3,587502,1762506
HDIP00178,SP00086,10,624079,6240790
HDIP00179,SP00480,3,30700,92100
HDIP00179,SP00127,1,56544,56544
HDIP00179,SP00309,8,180971,1447768
HDIP00180,SP00023,6,235895,1415370
HDIP00181,SP00079,1,488662,488662
HDIP00181,SP00290,2,400515,801030
HDIP00181,SP00215,2,635234,1270468
HDIP00182,SP00406,4,469201,1876804
HDIP00182,SP00146,3,176619,529857
HDIP00182,SP00371,4,104463,417852
HDIP00182,SP00250,3,473332,1419996
HDIP00183,SP00373,2,366907,733814
HDIP00183,SP00133,3,381436,1144308
HDIP00183,SP00455,3,632137,1896411
HDIP00183,SP00086,7,624079,4368553
HDIP00184,SP00467,8,683606,5468848
HDIP00185,SP00013,7,418886,2932202
HDIP00185,SP00185,5,757019,3785095
HDIP00186,SP00450,10,488692,4886920
HDIP00186,SP00031,10,579473,5794730
HDIP00186,SP00245,1,389276,389276
HDIP00186,SP00493,6,579313,3475878
HDIP00186,SP00203,6,261965,1571790
HDIP00187,SP00268,4,526352,2105408
HDIP00187,SP00063,1,470876,470876
HDIP00187,SP00386,5,598143,2990715
HDIP00187,SP00037,6,96131,576786
HDIP00188,SP00130,2,477422,954844
HDIP00188,SP00240,3,670940,2012820
HDIP00189,SP00289,7,652432,4567024
HDIP00189,SP00380,2,255797,511594
HDIP00189,SP00119,5,151147,755735
HDIP00189,SP00343,4,929821,3719284
HDIP00189,SP00340,10,688889,6888890
HDIP00190,SP00210,4,414476,1657904
HDIP00191,SP00001,9,39451,355059
HDIP00191,SP00306,9,707608,6368472
HDIP00191,SP00145,10,662420,6624200
HDIP00191,SP00130,1,477422,477422
HDIP00191,SP00297,3,429829,1289487
HDIP00192,SP00066,4,124537,498148
HDIP00192,SP00056,9,16338,147042
HDIP00192,SP00491,4,96366,385464
HDIP00192,SP00236,2,194951,389902
HDIP00192,SP00347,3,193616,580848
HDIP00193,SP00158,5,184258,921290
HDIP00194,SP00157,5,232784,1163920
HDIP00194,SP00181,2,533957,1067914
HDIP00194,SP00079,4,488662,1954648
HDIP00195,SP00497,7,424146,2969022
HDIP00195,SP00137,6,385250,2311500
HDIP00196,SP00428,9,504540,4540860
HDIP00196,SP00290,9,400515,3604635
HDIP00197,SP00500,2,781237,1562474
HDIP00197,SP00147,3,840960,2522880
HDIP00197,SP00011,8,450305,3602440
HDIP00197,SP00245,2,389276,778552
HDIP00198,SP00459,7,368795,2581565
HDIP00198,SP00236,8,194951,1559608
HDIP00198,SP00129,7,302827,2119789
HDIP00198,SP00297,1,429829,429829
HDIP00198,SP00066,10,124537,1245370
HDIP00199,SP00110,3,877693,2633079
HDIP00199,SP00426,5,84070,420350
HDIP00199,SP00339,9,543201,4888809
HDIP00199,SP00323,6,783476,4700856
HDIP00200,SP00286,2,498507,997014
HDIP00201,SP00367,1,641616,641616
HDIP00201,SP00487,2,505684,1011368
HDIP00201,SP00431,10,624749,6247490
HDIP00202,SP00396,10,94155,941550
HDIP00202,SP00317,2,600701,1201402
HDIP00203,SP00395,3,637511,1912533
HDIP00203,SP00032,1,723919,723919
HDIP00203,SP00070,3,110642,331926
HDIP00203,SP00393,2,231619,463238
HDIP00204,SP00334,6,81882,491292
HDIP00205,SP00319,8,513590,4108720
HDIP00205,SP00103,1,515243,515243
HDIP00205,SP00156,7,732500,5127500
HDIP00206,SP00500,1,781237,781237
HDIP00206,SP00287,7,75628,529396
HDIP00206,SP00371,3,104463,313389
HDIP00207,SP00042,6,561360,3368160
HDIP00207,SP00445,7,97858,685006
HDIP00207,SP00160,1,482619,482619
HDIP00208,SP00224,8,126323,1010584
HDIP00208,SP00134,5,640268,3201340
HDIP00209,SP00230,7,305877,2141139
HDIP00210,SP00469,8,413093,3304744
HDIP00210,SP00337,10,709273,7092730
HDIP00211,SP00122,5,349298,1746490
HDIP00211,SP00219,3,65321,195963
HDIP00212,SP00429,5,462537,2312685
HDIP00212,SP00102,8,666569,5332552
HDIP00212,SP00358,9,256895,2312055
HDIP00213,SP00132,2,535876,1071752
HDIP00213,SP00013,4,418886,1675544
HDIP00213,SP00086,5,624079,3120395
HDIP00213,SP00403,7,438096,3066672
HDIP00214,SP00462,4,61665,246660
HDIP00214,SP00453,7,763110,5341770
HDIP00214,SP00448,4,149173,596692
HDIP00214,SP00277,5,272667,1363335
HDIP00214,SP00036,9,556903,5012127
HDIP00215,SP00343,8,929821,7438568
HDIP00215,SP00050,3,768485,2305455
HDIP00215,SP00411,6,472831,2836986
HDIP00215,SP00087,2,276596,553192
HDIP00216,SP00400,3,563170,1689510
HDIP00217,SP00103,10,515243,5152430
HDIP00217,SP00170,1,506173,506173
HDIP00217,SP00159,10,66845,668450
HDIP00217,SP00043,10,461146,4611460
HDIP00218,SP00056,1,16338,16338
HDIP00219,SP00500,2,781237,1562474
HDIP00219,SP00289,9,652432,5871888
HDIP00219,SP00464,7,578385,4048695
HDIP00219,SP00441,1,708851,708851
HDIP00219,SP00365,2,110068,220136
HDIP00220,SP00341,6,539286,3235716
HDIP00221,SP00345,10,64030,640300
